,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC (Atlantic),14,1,.933,8,0,1.000,43.9,13.5,21.04,2.70,1,1,2,
2,Louisville,ACC (Atlantic),8,5,.615,5,3,.625,33.1,33.4,3.09,2.55,,,,
3,Wake Forest,ACC (Atlantic),8,5,.615,4,4,.500,31.8,29.1,3.23,0.00,,19,,
4,Boston College,ACC (Atlantic),6,7,.462,4,4,.500,29.0,32.2,-0.37,1.17,,,,
5,Florida State,ACC (Atlantic),6,7,.462,4,4,.500,27.9,27.8,1.78,2.32,,,,
6,Syracuse,ACC (Atlantic),5,7,.417,2,6,.250,28.3,30.7,-2.79,-0.62,22,21,,
7,North Carolina State,ACC (Atlantic),4,8,.333,1,7,.125,22.1,30.1,-7.82,-0.91,,,,
8,Miami (FL),ACC (Coastal),6,7,.462,4,4,.500,25.7,20.2,1.97,-0.18,,,,
9,Virginia,ACC (Coastal),9,5,.643,6,2,.750,32.1,27.1,6.29,1.50,,18,,
10,Virginia Tech,ACC (Coastal),8,5,.615,5,3,.625,30.8,24.7,3.37,-1.63,,23,,
11,Pitt,ACC (Coastal),8,5,.615,4,4,.500,21.2,22.5,0.60,0.52,,,,
12,North Carolina,ACC (Coastal),7,6,.538,4,4,.500,33.1,23.7,6.38,1.22,,,,
13,Duke,ACC (Coastal),5,7,.417,3,5,.375,25.3,29.2,0.11,2.03,,,,
14,Georgia Tech,ACC (Coastal),3,9,.250,2,6,.250,16.7,32.4,-8.49,2.42,,,,
15,Cincinnati,American (East),11,3,.786,7,1,.875,29.6,20.6,10.87,2.51,,17,21,
16,UCF,American (East),10,3,.769,6,2,.750,43.4,23.0,11.59,-1.87,17,15,24,
17,Temple,American (East),8,5,.615,5,3,.625,26.3,25.9,1.22,-0.09,,,,
18,South Florida,American (East),4,8,.333,2,6,.250,20.8,28.9,-3.26,2.16,,,,
19,East Carolina,American (East),4,8,.333,1,7,.125,26.8,33.7,-9.85,-2.85,,,,
20,Connecticut,American (East),2,10,.167,0,8,.000,18.9,40.5,-14.83,-1.33,,,,
21,Memphis,American (West),12,2,.857,7,1,.875,40.4,26.4,13.66,2.09,,15,17,
22,Navy,American (West),11,2,.846,7,1,.875,37.2,22.3,12.60,0.83,,20,20,
23,SMU,American (West),10,3,.769,6,2,.750,41.8,33.4,9.02,0.64,,15,,
24,Tulane,American (West),7,6,.538,3,5,.375,33.1,26.3,3.98,1.21,,,,
25,Houston,American (West),4,8,.333,2,6,.250,30.7,34.0,-0.41,3.25,,,,
26,Tulsa,American (West),4,8,.333,2,6,.250,26.4,31.3,0.43,5.01,,,,
27,Oklahoma,Big 12,12,2,.857,8,1,.889,42.1,27.3,15.79,4.36,4,4,7,
28,Baylor,Big 12,11,3,.786,8,1,.889,33.6,19.8,12.12,2.62,,8,13,
29,Kansas State,Big 12,8,5,.615,5,4,.556,29.6,21.4,7.02,2.64,,20,,
30,Oklahoma State,Big 12,8,5,.615,5,4,.556,32.5,26.8,7.39,3.46,,21,,
31,Texas,Big 12,8,5,.615,5,4,.556,35.2,27.5,12.18,5.80,10,9,25,
32,Iowa State,Big 12,7,6,.538,5,4,.556,32.2,25.9,7.92,4.53,21,21,,
33,Texas Christian,Big 12,5,7,.417,3,6,.333,30.3,26.4,5.27,3.60,,25,,
34,West Virginia,Big 12,5,7,.417,3,6,.333,20.6,28.8,-2.92,3.16,,,,
35,Texas Tech,Big 12,4,8,.333,2,7,.222,30.5,30.3,-0.65,1.10,,,,
36,Kansas,Big 12,3,9,.250,1,8,.111,23.5,36.1,-5.73,3.19,,,,
37,Ohio State,Big Ten (East),13,1,.929,9,0,1.000,46.9,13.7,27.39,7.32,5,2,3,
38,Penn State,Big Ten (East),11,2,.846,7,2,.778,35.8,16.0,17.34,4.88,15,5,9,
39,Michigan,Big Ten (East),9,4,.692,6,3,.667,31.7,20.7,15.50,7.88,7,7,18,
40,Indiana,Big Ten (East),8,5,.615,5,4,.556,31.8,24.4,5.79,1.49,,24,,
41,Michigan State,Big Ten (East),7,6,.538,4,5,.444,22.4,22.5,6.06,5.60,18,18,,
42,Maryland,Big Ten (East),3,9,.250,1,8,.111,25.3,34.7,-3.18,4.57,,21,,
43,Rutgers,Big Ten (East),2,10,.167,0,9,.000,13.3,36.7,-11.16,4.93,,,,
44,Minnesota,Big Ten (West),11,2,.846,7,2,.778,34.1,22.5,11.73,2.11,,7,10,
45,Wisconsin,Big Ten (West),10,4,.714,7,2,.778,34.1,16.9,17.73,7.73,19,6,11,
46,Iowa,Big Ten (West),10,3,.769,6,3,.667,25.8,14.0,14.60,4.44,20,14,15,
47,Illinois,Big Ten (West),6,7,.462,4,5,.444,26.7,26.2,-0.08,0.61,,,,
48,Nebraska,Big Ten (West),5,7,.417,3,6,.333,28.0,27.8,2.67,4.00,24,24,,
49,Purdue,Big Ten (West),4,8,.333,3,6,.333,25.8,30.6,-0.52,4.15,,,,
50,Northwestern,Big Ten (West),3,9,.250,1,8,.111,16.3,23.6,-3.13,3.46,,,,
51,Florida Atlantic,CUSA (East),11,3,.786,7,1,.875,36.4,22.7,8.28,-2.43,,,,
52,Western Kentucky,CUSA (East),9,4,.692,6,2,.750,25.4,20.1,0.31,-5.08,,,,
53,Marshall,CUSA (East),8,5,.615,6,2,.750,25.8,25.0,-0.54,-2.38,,,,
54,Charlotte,CUSA (East),7,6,.538,5,3,.625,29.8,32.4,-6.88,-5.41,,,,
