,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,20,11,.645,-2.87,-6.87,,15,5,,13,3,,7,8,,2352,2024,,1260,814,1813,.449,209,676,.309,515,695,.741,337,1042,461,293,81,436,661
2,Air Force,32,12,20,.375,-0.37,3.02,,5,13,,8,7,,3,9,,2338,2386,,1280,802,1759,.456,275,734,.375,459,628,.731,237,1040,469,161,43,395,534
3,Akron,31,24,7,.774,7.15,-0.40,,14,4,,15,2,,8,4,,2348,2062,,1240,788,1789,.440,287,795,.361,485,628,.772,302,1169,405,158,91,397,548
4,Alabama,31,16,15,.516,11.12,8.12,,8,10,,10,5,,4,8,,2542,2449,,1260,854,1956,.437,334,957,.349,500,721,.693,361,1220,441,196,136,461,622
5,Alabama A&M,30,8,22,.267,-18.88,-8.85,,5,13,,6,5,,2,16,,1845,2146,,1205,656,1727,.380,154,548,.281,379,565,.671,286,1035,326,174,63,391,538
6,Alabama State,32,8,24,.250,-16.15,-6.53,,7,11,,4,5,,2,16,,1965,2273,,1280,683,1763,.387,208,687,.303,391,629,.622,295,1031,325,200,70,512,638
7,Albany (NY),32,14,18,.438,-8.78,-5.91,,7,9,,7,7,,5,11,,2127,2190,,1285,725,1768,.410,255,774,.329,422,600,.703,259,1096,409,179,90,436,533
8,Alcorn State,30,15,15,.500,-14.64,-9.64,,11,7,,11,2,,4,13,,2251,2196,,1210,784,1836,.427,268,733,.366,415,558,.744,330,1116,404,239,98,433,549
9,American,30,16,14,.533,-4.37,-6.50,,12,6,,10,4,,6,10,,2149,2085,,1205,796,1743,.457,206,606,.340,351,499,.703,267,978,384,240,106,369,521
10,Appalachian State,33,18,15,.545,-0.81,-0.01,,11,9,,10,5,,7,9,,2256,2222,,1325,775,1800,.431,212,699,.303,494,741,.667,323,1153,381,246,74,440,514
11,Arizona,32,21,11,.656,19.49,8.40,,10,8,,13,4,,4,6,,2445,2090,,1290,850,1905,.446,233,661,.352,512,699,.732,349,1198,492,216,119,378,593
12,Arizona State,31,20,11,.645,11.46,8.10,,11,7,,13,3,,6,5,,2288,2184,,1240,816,1904,.429,227,703,.323,429,617,.695,312,1115,345,249,104,408,577
13,Arkansas,32,20,12,.625,13.46,7.27,,7,11,,14,4,,4,8,,2426,2228,,1300,808,1825,.443,243,728,.334,567,776,.731,239,1010,381,253,124,369,638
14,Arkansas State,32,16,16,.500,-2.92,-0.72,,8,12,,10,7,,6,9,,2262,2301,,1290,750,1718,.437,184,545,.338,578,814,.710,316,1054,442,220,85,415,655
15,Arkansas-Pine Bluff,30,4,26,.133,-21.65,-6.41,,3,15,,2,8,,2,18,,1615,2049,,1205,588,1483,.396,113,429,.263,326,554,.588,267,940,288,216,97,531,617
16,Army,30,15,15,.500,-9.10,-6.68,,10,8,,9,6,,6,9,,2128,2161,,1210,821,1742,.471,215,645,.333,271,441,.615,201,1016,487,167,49,354,444
17,Auburn,31,25,6,.806,15.04,7.39,,12,6,,16,1,,5,5,,2419,2182,,1270,808,1868,.433,252,824,.306,551,818,.674,421,1266,397,199,151,399,596
18,Austin Peay,33,21,12,.636,-0.98,-4.14,,14,4,,14,0,,5,10,,2519,2359,,1325,892,1943,.459,223,644,.346,512,715,.716,390,1189,434,218,100,423,604
19,Ball State,31,18,13,.581,4.12,-1.65,,11,7,,11,4,,5,7,,2155,1938,,1240,749,1754,.427,283,842,.336,374,540,.693,272,1119,417,206,105,413,496
20,Baylor,30,26,4,.867,20.13,9.13,,15,3,,14,1,,8,2,,2134,1804,,1205,763,1778,.429,230,656,.351,378,548,.690,387,1106,413,244,132,357,509
21,Belmont,33,26,7,.788,4.30,-6.23,,15,3,,13,1,,11,5,,2627,2241,,1320,986,2074,.475,320,908,.352,335,470,.713,290,1232,604,249,106,392,497
22,Bethune-Cookman,30,16,14,.533,-10.16,-8.98,,10,6,,10,1,,4,13,,2239,2167,,1215,782,1842,.425,184,576,.319,491,701,.700,354,1175,362,217,89,465,591
23,Binghamton,29,10,19,.345,-15.03,-4.62,,4,12,,7,7,,3,12,,2014,2221,,1165,717,1750,.410,278,839,.331,302,417,.724,278,1013,339,151,88,358,479
24,Boise State,32,20,12,.625,8.59,4.39,,11,7,,13,2,,4,8,,2430,2223,,1305,829,1853,.447,269,781,.344,503,670,.751,285,1113,416,182,46,399,551
25,Boston College,32,13,19,.406,1.82,7.86,,7,13,,8,10,,4,8,,2067,2260,,1285,742,1844,.402,230,747,.308,353,536,.659,301,1058,403,245,82,439,506
26,Boston University,34,21,13,.618,-1.87,-5.30,,12,6,,12,3,,9,8,,2410,2269,,1375,919,1998,.460,224,687,.326,348,540,.644,343,1228,430,187,77,384,513
27,Bowling Green State,31,21,10,.677,0.47,0.20,,12,6,,13,2,,5,5,,2310,2259,,1250,822,1968,.418,242,717,.338,424,564,.752,349,1238,380,169,71,343,545
28,Bradley,34,23,11,.676,5.33,0.33,,11,7,,15,2,,4,8,,2438,2240,,1370,872,1976,.441,230,618,.372,464,631,.735,377,1310,457,163,138,400,562
29,Brigham Young,32,24,8,.750,16.93,6.45,,13,3,,14,1,,6,5,,2548,2188,,1295,949,1897,.500,332,785,.423,318,454,.700,209,1061,554,186,67,353,513
30,Brown,27,15,12,.556,-4.45,-1.72,,8,6,,10,4,,5,8,,1809,1854,,1080,626,1576,.397,183,600,.305,374,512,.730,332,1033,304,179,118,405,451
31,Bryant,32,15,17,.469,-6.70,-6.67,,7,11,,9,5,,6,12,,2271,2223,,1285,802,1932,.415,269,837,.321,398,588,.677,389,1289,441,207,140,460,588
